V160001,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,age,female,education,question,net_stats,clustering,giant component,disssortativity,k avg,k std,entropy,density
62,0.0,2.0,0.0,2.0,6.5,6.0,2.0,4.0,76.0,1.0,2,V161069_stats,"{'node_count': 10, 'edge_count': 9, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.22727272727272738, 'k avg': 1.8, 'k std': 0.7888106377466155, 'entropy': 0.49036821066210917, 'density': 0.2}",0.0,1.0,0.22727272727272738,1.8,0.7888106377466155,0.49036821066210917,0.2
63,4.0,0.0,0.0,4.5,5.0,5.5,1.0,5.5,31.0,0.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",0.0,1.0,1.0,1.5,1.0,0.4393743703526205,0.5
66,2.0,,0.0,,,,,,68.0,1.0,2,V161069_stats,"{'node_count': 22, 'edge_count': 20, 'clustering': 0.0, 'giant component': 0.3181818181818182, 'disssortativity': 0.07042253521126766, 'k avg': 1.8181818181818181, 'k std': 0.9069238239845849, 'entropy': 0.40197474320031806, 'density': 0.08658008658008658}",0.0,0.3181818181818182,0.07042253521126766,1.8181818181818181,0.9069238239845849,0.40197474320031806,0.08658008658008658
67,0.0,3.0,0.5,4.0,7.0,6.5,4.5,5.0,57.0,0.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.1951219512195119, 'k avg': 2.0, 'k std': 1.4142135623730951, 'entropy': 0.8123743703410189, 'density': 0.6666666666666666}",0.0,1.0,0.1951219512195119,2.0,1.4142135623730951,0.8123743703410189,0.6666666666666666
69,4.0,2.0,0.0,4.0,5.5,7.0,5.5,5.0,32.0,1.0,1,V161069_stats,"{'node_count': 5, 'edge_count': 3, 'clustering': 0.0, 'giant component': 0.8, 'disssortativity': 0.4999999999999988, 'k avg': 1.2, 'k std': 0.8366600265340756, 'entropy': 0.7081187730841113, 'density': 0.3}",0.0,0.8,0.4999999999999988,1.2,0.8366600265340756,0.7081187730841113,0.3
70,0.0,3.0,0.0,4.5,4.5,4.5,2.5,5.0,45.0,0.0,2,V161069_stats,"{'node_count': 5, 'edge_count': 3, 'clustering': 0.0, 'giant component': 0.4, 'disssortativity': 0.4999999999999998, 'k avg': 1.2, 'k std': 0.4472135954999579, 'entropy': 0.3358968393604847, 'density': 0.3}",0.0,0.4,0.4999999999999998,1.2,0.4472135954999579,0.3358968393604847,0.3
71,1.0,1.0,0.0,3.5,5.0,5.5,3.0,5.0,50.0,1.0,1,V161069_stats,"{'node_count': 8, 'edge_count': 6, 'clustering': 0.29166666666666663, 'giant component': 0.375, 'disssortativity': 0.3333333333333337, 'k avg': 1.5, 'k std': 0.9258200997725514, 'entropy': 0.6482257874882865, 'density': 0.21428571428571427}",0.29166666666666663,0.375,0.3333333333333337,1.5,0.9258200997725514,0.6482257874882865,0.21428571428571427
72,0.0,2.0,0.0,3.0,6.5,7.0,3.0,5.0,68.0,1.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 2, 'clustering': 0.0, 'giant component': 0.5, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 0.3333333333333333}",0.0,0.5,-1.0,1.0,0.0,0.0,0.3333333333333333
73,0.0,3.0,0.0,3.5,5.5,4.5,2.5,6.0,60.0,0.0,2,V161069_stats,"{'node_count': 10, 'edge_count': 8, 'clustering': 0.0, 'giant component': 0.2, 'disssortativity': 0.4166666666666667, 'k avg': 1.6, 'k std': 1.2649110640673518, 'entropy': 0.37271666692746647, 'density': 0.17777777777777778}",0.0,0.2,0.4166666666666667,1.6,1.2649110640673518,0.37271666692746647,0.17777777777777778
75,1.0,1.0,0.0,2.5,6.0,4.5,2.5,3.0,27.0,1.0,1,V161069_stats,"{'node_count': 5, 'edge_count': 5, 'clustering': 0.4333333333333333, 'giant component': 1.0, 'disssortativity': 0.805555555555556, 'k avg': 2.0, 'k std': 1.224744871391589, 'entropy': 0.7081187730841113, 'density': 0.5}",0.4333333333333333,1.0,0.805555555555556,2.0,1.224744871391589,0.7081187730841113,0.5
76,5.0,2.0,0.0,4.5,5.0,6.0,3.0,6.0,,0.0,1,V161069_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",0.0,1.0,1.0,1.3333333333333333,0.5773502691896257,0.6293370420768268,0.6666666666666666
78,2.0,2.0,1.0,3.5,4.0,5.0,2.5,7.0,35.0,0.0,2,V161069_stats,"{'node_count': 14, 'edge_count': 10, 'clustering': 0.0, 'giant component': 0.14285714285714285, 'disssortativity': 0.22302158273381306, 'k avg': 1.4285714285714286, 'k std': 1.0163498575623617, 'entropy': 0.4551822860257016, 'density': 0.10989010989010989}",0.0,0.14285714285714285,0.22302158273381306,1.4285714285714286,1.0163498575623617,0.4551822860257016,0.10989010989010989
80,1.0,0.0,0.0,4.5,4.5,4.0,5.5,4.0,78.0,1.0,1,V161069_stats,"{'node_count': 15, 'edge_count': 15, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.5702660406885758, 'k avg': 2.0, 'k std': 2.5634797778466227, 'entropy': 0.2830414829863362, 'density': 0.14285714285714285}",0.0,1.0,0.5702660406885758,2.0,2.5634797778466227,0.2830414829863362,0.14285714285714285
82,,2.0,0.0,4.0,6.0,7.0,1.0,5.5,65.0,1.0,2,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",0.0,1.0,0.4999999999999988,1.5,0.5773502691896257,0.5415829135606792,0.5
83,0.0,2.0,0.0,5.0,4.0,5.5,4.5,5.0,55.0,0.0,1,V161069_stats,"{'node_count': 26, 'edge_count': 24, 'clustering': 0.023076923076923075, 'giant component': 0.3076923076923077, 'disssortativity': 0.18551042810098753, 'k avg': 1.8461538461538463, 'k std': 1.0841515647660225, 'entropy': 0.4017424219251805, 'density': 0.07384615384615385}",0.023076923076923075,0.3076923076923077,0.18551042810098753,1.8461538461538463,1.0841515647660225,0.4017424219251805,0.07384615384615385
84,0.0,3.0,0.0,4.5,4.0,7.0,4.0,6.5,69.0,1.0,3,V161069_stats,"{'node_count': 13, 'edge_count': 8, 'clustering': 0.0, 'giant component': 0.23076923076923078, 'disssortativity': 0.5, 'k avg': 1.2307692307692308, 'k std': 0.5991446895152781, 'entropy': 0.3570480002706018, 'density': 0.10256410256410256}",0.0,0.23076923076923078,0.5,1.2307692307692308,0.5991446895152781,0.3570480002706018,0.10256410256410256
85,2.0,3.0,0.0,6.0,5.0,6.0,2.5,6.0,55.0,0.0,3,V161069_stats,"{'node_count': 10, 'edge_count': 10, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3888888888888899, 'k avg': 2.0, 'k std': 0.6666666666666666, 'entropy': 0.4417229645521758, 'density': 0.2222222222222222}",0.0,1.0,0.3888888888888899,2.0,0.6666666666666666,0.4417229645521758,0.2222222222222222
87,2.0,2.0,0.5,5.0,5.0,4.5,2.0,5.5,68.0,0.0,3,V161069_stats,"{'node_count': 2, 'edge_count': 1, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 1.0}",0.0,1.0,-1.0,1.0,0.0,0.0,1.0
92,1.0,0.0,0.0,3.0,6.0,6.5,3.5,6.5,42.0,1.0,2,V161069_stats,"{'node_count': 8, 'edge_count': 7, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.33333333333333387, 'k avg': 1.75, 'k std': 0.7071067811865476, 'entropy': 0.5030544319692167, 'density': 0.25}",0.0,1.0,0.33333333333333387,1.75,0.7071067811865476,0.5030544319692167,0.25
94,0.0,2.0,0.0,6.0,5.5,6.0,2.0,5.0,30.0,0.0,2,V161069_stats,"{'node_count': 9, 'edge_count': 7, 'clustering': 0.0, 'giant component': 0.3333333333333333, 'disssortativity': 0.49999999999999944, 'k avg': 1.5555555555555556, 'k std': 0.881917103688197, 'entropy': 0.4140251236514825, 'density': 0.19444444444444445}",0.0,0.3333333333333333,0.49999999999999944,1.5555555555555556,0.881917103688197,0.4140251236514825,0.19444444444444445
96,5.0,1.0,0.0,3.5,4.0,7.0,3.5,5.0,51.0,0.0,1,V161069_stats,"{'node_count': 7, 'edge_count': 5, 'clustering': 0.0, 'giant component': 0.8571428571428571, 'disssortativity': 0.3333333333333343, 'k avg': 1.4285714285714286, 'k std': 0.9759000729485331, 'entropy': 0.7058878168573889, 'density': 0.23809523809523808}",0.0,0.8571428571428571,0.3333333333333343,1.4285714285714286,0.9759000729485331,0.7058878168573889,0.23809523809523808
98,0.0,,0.0,,,,,,68.0,0.0,1,V161069_stats,"{'node_count': 7, 'edge_count': 4, 'clustering': 0.0, 'giant component': 0.7142857142857143, 'disssortativity': 0.6666666666666666, 'k avg': 1.1428571428571428, 'k std': 1.0690449676496974, 'entropy': 0.705887816857389, 'density': 0.19047619047619047}",0.0,0.7142857142857143,0.6666666666666666,1.1428571428571428,1.0690449676496974,0.705887816857389,0.19047619047619047
101,0.0,2.0,0.0,4.0,6.0,6.0,3.5,5.5,36.0,1.0,3,V161069_stats,"{'node_count': 11, 'edge_count': 10, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.2244897959183652, 'k avg': 1.8181818181818181, 'k std': 0.7507571935295484, 'entropy': 0.46190908193565133, 'density': 0.18181818181818182}",0.0,1.0,0.2244897959183652,1.8181818181818181,0.7507571935295484,0.46190908193565133,0.18181818181818182
102,0.0,2.0,0.0,6.0,4.5,6.0,1.0,6.0,47.0,1.0,3,V161069_stats,"{'node_count': 20, 'edge_count': 21, 'clustering': 0.06666666666666668, 'giant component': 0.95, 'disssortativity': 0.46599045346062024, 'k avg': 2.1, 'k std': 1.5861240410775606, 'entropy': 0.5406674686433549, 'density': 0.11052631578947368}",0.06666666666666668,0.95,0.46599045346062024,2.1,1.5861240410775606,0.5406674686433549,0.11052631578947368
103,3.0,2.0,0.0,3.5,5.5,5.5,4.0,5.0,61.0,0.0,1,V161069_stats,"{'node_count': 6, 'edge_count': 2, 'clustering': 0.0, 'giant component': 0.3333333333333333, 'disssortativity': 0, 'k avg': 0.6666666666666666, 'k std': 0.5163977794943223, 'entropy': 0.38289400293653997, 'density': 0.13333333333333333}",0.0,0.3333333333333333,0.0,0.6666666666666666,0.5163977794943223,0.38289400293653997,0.13333333333333333
104,0.0,2.0,1.0,6.5,6.5,6.5,1.5,7.0,26.0,1.0,3,V161069_stats,"{'node_count': 8, 'edge_count': 5, 'clustering': 0.0, 'giant component': 0.25, 'disssortativity': 0.6666666666666686, 'k avg': 1.25, 'k std': 0.4629100498862757, 'entropy': 0.29034271103813963, 'density': 0.17857142857142858}",0.0,0.25,0.6666666666666686,1.25,0.4629100498862757,0.29034271103813963,0.17857142857142858
108,5.0,1.0,0.5,2.0,6.0,6.0,2.5,4.5,36.0,0.0,1,V161069_stats,"{'node_count': 2, 'edge_count': 1, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 1.0}",0.0,1.0,-1.0,1.0,0.0,0.0,1.0
109,2.0,1.0,0.0,4.5,4.5,4.0,4.0,6.0,68.0,1.0,2,V161069_stats,"{'node_count': 8, 'edge_count': 7, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.8007246376811596, 'k avg': 1.75, 'k std': 1.7525491637693282, 'entropy': 0.3798134801506764, 'density': 0.25}",0.0,1.0,0.8007246376811596,1.75,1.7525491637693282,0.3798134801506764,0.25
110,2.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,23.0,0.0,1,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",0.0,1.0,1.0,1.5,1.0,0.4393743703526205,0.5
115,1.0,1.0,0.0,5.0,4.5,6.0,3.0,6.5,30.0,0.0,1,V161069_stats,"{'node_count': 18, 'edge_count': 17, 'clustering': 0.0, 'giant component': 0.9444444444444444, 'disssortativity': 0.13054187192118166, 'k avg': 1.8888888888888888, 'k std': 1.2313975269103985, 'entropy': 0.5135686313395726, 'density': 0.1111111111111111}",0.0,0.9444444444444444,0.13054187192118166,1.8888888888888888,1.2313975269103985,0.5135686313395726,0.1111111111111111
118,0.0,2.0,0.0,4.5,4.5,5.5,2.5,5.5,54.0,0.0,3,V161069_stats,"{'node_count': 17, 'edge_count': 17, 'clustering': 0.16470588235294117, 'giant component': 0.7647058823529411, 'disssortativity': 0.026970954356846807, 'k avg': 2.0, 'k std': 1.8708286933869707, 'entropy': 0.5233883316852908, 'density': 0.125}",0.16470588235294117,0.7647058823529411,0.026970954356846807,2.0,1.8708286933869707,0.5233883316852908,0.125
126,5.0,2.0,0.5,5.5,6.5,6.0,2.0,5.5,34.0,1.0,2,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",0.0,1.0,1.0,1.5,1.0,0.4393743703526205,0.5
127,2.0,3.0,0.0,6.5,6.5,7.0,2.0,7.0,33.0,1.0,3,V161069_stats,"{'node_count': 2, 'edge_count': 1, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 1.0}",0.0,1.0,-1.0,1.0,0.0,0.0,1.0
131,0.0,0.0,0.0,3.5,4.5,5.5,4.0,5.0,81.0,0.0,1,V161069_stats,"{'node_count': 5, 'edge_count': 3, 'clustering': 0.0, 'giant component': 0.8, 'disssortativity': 0.4999999999999988, 'k avg': 1.2, 'k std': 0.8366600265340756, 'entropy': 0.7081187730841113, 'density': 0.3}",0.0,0.8,0.4999999999999988,1.2,0.8366600265340756,0.7081187730841113,0.3
133,2.0,2.0,0.5,3.0,4.5,5.0,4.5,3.0,75.0,1.0,1,V161069_stats,"{'node_count': 13, 'edge_count': 12, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.24444444444444435, 'k avg': 1.8461538461538463, 'k std': 0.898717034272917, 'entropy': 0.46524579210565814, 'density': 0.15384615384615385}",0.0,1.0,0.24444444444444435,1.8461538461538463,0.898717034272917,0.46524579210565814,0.15384615384615385
135,2.0,2.0,0.0,3.5,5.0,4.0,6.0,6.0,43.0,0.0,3,V161069_stats,"{'node_count': 31, 'edge_count': 31, 'clustering': 0.023655913978494623, 'giant component': 0.06451612903225806, 'disssortativity': 0.04601226993864999, 'k avg': 2.0, 'k std': 1.1547005383792515, 'entropy': 0.39515908695304314, 'density': 0.06666666666666667}",0.023655913978494623,0.06451612903225806,0.04601226993864999,2.0,1.1547005383792515,0.39515908695304314,0.06666666666666667
136,0.0,2.0,0.0,4.0,5.0,6.5,3.5,5.5,58.0,0.0,3,V161069_stats,"{'node_count': 28, 'edge_count': 26, 'clustering': 0.0, 'giant component': 0.75, 'disssortativity': -0.15166340508806236, 'k avg': 1.8571428571428572, 'k std': 1.3253730631840066, 'entropy': 0.4984033157313292, 'density': 0.06878306878306878}",0.0,0.75,-0.15166340508806236,1.8571428571428572,1.3253730631840066,0.4984033157313292,0.06878306878306878
137,2.0,3.0,0.5,5.5,5.5,3.5,6.0,7.0,36.0,1.0,3,V161069_stats,"{'node_count': 2, 'edge_count': 1, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 1.0}",0.0,1.0,-1.0,1.0,0.0,0.0,1.0
138,5.0,1.0,0.0,4.5,5.0,6.5,3.0,6.5,23.0,1.0,3,V161069_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666666, 'k avg': 1.6, 'k std': 0.8944271909999159, 'entropy': 0.6378723516343402, 'density': 0.4}",0.0,1.0,0.6666666666666666,1.6,0.8944271909999159,0.6378723516343402,0.4
143,0.0,,0.0,,,,,,57.0,0.0,1,V161069_stats,"{'node_count': 12, 'edge_count': 9, 'clustering': 0.0, 'giant component': 0.16666666666666666, 'disssortativity': -0.4999999999999983, 'k avg': 1.5, 'k std': 0.5222329678670935, 'entropy': 0.29780803906827635, 'density': 0.13636363636363635}",0.0,0.16666666666666666,-0.4999999999999983,1.5,0.5222329678670935,0.29780803906827635,0.13636363636363635
145,1.0,0.0,0.0,,,,,,60.0,0.0,1,V161069_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",0.0,1.0,1.0,1.3333333333333333,0.5773502691896257,0.6293370420768268,0.6666666666666666
146,0.0,3.0,0.5,4.0,5.0,4.0,4.0,7.0,45.0,0.0,3,V161069_stats,"{'node_count': 9, 'edge_count': 8, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3333333333333333, 'k avg': 1.7777777777777777, 'k std': 0.6666666666666666, 'entropy': 0.4570541985133103, 'density': 0.2222222222222222}",0.0,1.0,0.3333333333333333,1.7777777777777777,0.6666666666666666,0.4570541985133103,0.2222222222222222
149,0.0,2.0,0.0,3.5,,7.0,3.0,3.0,72.0,1.0,3,V161069_stats,"{'node_count': 17, 'edge_count': 13, 'clustering': 0.0, 'giant component': 0.11764705882352941, 'disssortativity': -0.11111111111111152, 'k avg': 1.5294117647058822, 'k std': 0.8744746321952063, 'entropy': 0.4312818220008041, 'density': 0.09558823529411764}",0.0,0.11764705882352941,-0.11111111111111152,1.5294117647058822,0.8744746321952063,0.4312818220008041,0.09558823529411764
